집단,연령범위,성별,표본수(n),당뇨_유병자수,당뇨_유병률(%),당뇨_비고,고혈압_유병자수,고혈압_유병률(%),고혈압_비고,데이터출처
청년_남성,19–39세,남성,1347,37,2.7,⚠️ 소표본,85,6.3,,KNHANES 2020–2024 (횡단면)
청년_여성,19–39세,여성,2647,36,1.4,⚠️ 소표본,33,1.2,⚠️ 소표본,KNHANES 2020–2024 (횡단면)
중장년_남성,40–59세,남성,1273,337,26.5,,418,32.8,,KNHANES 2020–2024 (횡단면)
중장년_여성,40–59세,여성,2624,278,10.6,,384,14.6,,KNHANES 2020–2024 (횡단면)
고령_남성,60–99세,남성,1569,868,55.3,,1022,65.1,,KNHANES 2020–2024 (횡단면)
고령_여성,60–99세,여성,2007,865,43.1,,1258,62.7,,KNHANES 2020–2024 (횡단면)
