집단,질환,알고리즘,AUC,TPR,FPR,ECE,N,|Gap|,견고성_판정,SHAP_HHI,HHI_95CI_lo,HHI_95CI_hi,투명성_판정,Waterfall생성,코드공개,ModelCard_Score,AUC_drop_mean,Perturbation_판정,Temporal_AUC_2024,Temporal_판정
청년_남성,당뇨,XGB,0.765,0.1818,0.0355,0.0926,405,0.0542,위험 X,0.1737,0.1682,0.1788,주의 -,가능 ✓,공개 ✓,0.8,0.022,양호 O,0.9537,위험 X
청년_남성,고혈압,RF,0.8246,0.5769,0.1715,0.2846,405,0.0536,위험 X,0.1096,0.1035,0.1152,양호 O,가능 ✓,공개 ✓,0.8,0.0063,양호 O,0.8861,주의 -
청년_여성,당뇨,RF,0.8898,0.5455,0.0561,0.147,795,0.0027,양호 O,0.1378,0.1355,0.1396,양호 O,가능 ✓,공개 ✓,0.8,0.0125,양호 O,0.9666,주의 -
청년_여성,고혈압,RF,0.8359,0.0,0.0,0.0184,795,0.0918,위험 X,0.0523,0.0513,0.0536,양호 O,가능 ✓,공개 ✓,0.8,0.0174,양호 O,0.948,위험 X
중장년_남성,당뇨,LGBM,0.7818,0.7426,0.2562,0.1722,382,0.0421,주의 -,0.0975,0.093,0.1011,양호 O,가능 ✓,공개 ✓,0.8,0.0107,양호 O,0.8968,위험 X
중장년_남성,고혈압,XGB,0.7761,0.52,0.1634,0.0856,382,0.0252,양호 O,0.0559,0.0544,0.0577,양호 O,가능 ✓,공개 ✓,0.8,0.0594,위험 X,0.9485,위험 X
중장년_여성,당뇨,LGBM,0.8334,0.6024,0.1333,0.1674,788,0.0057,양호 O,0.1122,0.1075,0.1181,양호 O,가능 ✓,공개 ✓,0.8,0.0055,양호 O,0.9389,위험 X
중장년_여성,고혈압,LGBM,0.7436,0.5826,0.2273,0.2832,788,0.0064,양호 O,0.1714,0.1647,0.1777,주의 -,가능 ✓,공개 ✓,0.8,0.0085,양호 O,0.8593,위험 X
고령_남성,당뇨,RF,0.6382,0.613,0.3952,0.0551,471,0.0044,양호 O,0.1015,0.0972,0.1051,양호 O,가능 ✓,공개 ✓,0.8,0.0039,양호 O,0.8112,위험 X
고령_남성,고혈압,LGBM,0.6863,0.7362,0.4939,0.0838,471,0.0066,양호 O,0.0769,0.0743,0.0794,양호 O,가능 ✓,공개 ✓,0.8,0.0127,양호 O,0.9407,위험 X
고령_여성,당뇨,XGB,0.7542,0.7,0.3324,0.0578,603,0.06,위험 X,0.1316,0.125,0.1387,양호 O,가능 ✓,공개 ✓,0.8,0.0115,양호 O,0.8688,위험 X
고령_여성,고혈압,RF,0.7794,0.7566,0.3111,0.1031,603,0.0487,주의 -,0.0849,0.0826,0.0877,양호 O,가능 ✓,공개 ✓,0.8,0.008,양호 O,0.8723,주의 -
